promo_id,start_date,end_date,discount_rate,promotion_name,promotion_type,target_segment,channel,budget
promo_1,2023-10-12,2023-11-07,0.44,Cyber Week,Percentage,All,Online,54400.0
promo_2,2023-08-16,2025-03-30,0.22,Summer Splash,BOGO,High Spenders,Online,18800.0
promo_3,2024-01-26,2025-04-29,0.36,Mega Monday,Percentage,Loyal Users,Online,62200.0
promo_4,2024-04-25,2024-05-23,0.4,Loyalty Love,Percentage,All,Both,12300.0
promo_5,2024-01-07,2024-06-24,0.12,VIP Exclusive,Flash Sale,All,Online,12700.0
promo_6,2024-02-17,2024-10-14,0.17,Black Friday,Percentage,All,Online,3900.0
promo_7,2024-02-01,2025-05-01,0.31,Mega Monday,BOGO,Loyal Users,Both,13600.0
promo_8,2024-04-30,2025-02-02,0.38,Back to School,Flash Sale,All,Online,45200.0
promo_9,2023-07-11,2024-08-14,0.25,Cyber Week,BOGO,All,Both,50100.0
promo_10,2023-08-25,2025-05-15,0.46,Clearance Blowout,Percentage,All,Online,77900.0
promo_11,2024-05-11,2025-02-15,0.2,Easter Deal,Percentage,All,Online,11500.0
promo_12,2024-05-13,2025-06-12,0.15,Cyber Week,Percentage,New Users,Online,61800.0
promo_13,2023-09-02,2024-05-10,0.17,VIP Exclusive,Percentage,All,In-store,55800.0
promo_14,2023-10-27,2024-06-12,0.21,VIP Exclusive,Percentage,High Spenders,Online,33600.0
promo_15,2023-09-10,2024-11-10,0.26,Black Friday,Flash Sale,All,Both,75700.0
promo_16,2024-06-07,2025-06-03,0.28,Back to School,Percentage,All,Online,81700.0
promo_17,2023-11-10,2025-04-14,0.44,Summer Splash,Percentage,All,In-store,23300.0
promo_18,2024-05-23,2025-01-30,0.13,Black Friday,Percentage,All,Online,28900.0
promo_19,2024-06-06,2024-08-26,0.28,Black Friday,Flash Sale,High Spenders,Both,76600.0
promo_20,2023-10-15,2024-02-22,0.19,Easter Deal,Percentage,New Users,Online,55300.0
promo_21,2024-01-29,2024-02-26,0.44,Fall Fiesta,BOGO,New Users,Online,9100.0
promo_22,2023-11-07,2024-11-10,0.46,Back to School,Percentage,New Users,Online,76700.0
promo_23,2024-05-22,2025-04-16,0.35,Spring Saver,Percentage,All,Online,73600.0
promo_24,2024-02-08,2024-07-14,0.16,Black Friday,Percentage,Loyal Users,Online,55500.0
promo_25,2023-12-28,2024-10-14,0.06,Weekend Flash,Percentage,All,Online,52500.0
promo_26,2023-11-21,2025-01-17,0.24,Payday Boost,Percentage,New Users,Online,66000.0
promo_27,2023-09-25,2024-06-17,0.06,Fall Fiesta,Percentage,All,Online,14700.0
promo_28,2023-12-01,2025-04-19,0.07,Spring Saver,BOGO,All,In-store,18000.0
promo_29,2024-04-07,2025-03-05,0.4,Weekend Flash,Percentage,All,Both,60000.0
promo_30,2024-05-12,2024-08-14,0.48,Back to School,Percentage,All,Online,89800.0
promo_31,2024-02-04,2024-10-22,0.08,New Year Bash,Percentage,All,In-store,23300.0
promo_32,2023-08-19,2023-12-26,0.42,Weekend Flash,Percentage,All,In-store,57000.0
promo_33,2023-07-16,2023-10-09,0.37,Clearance Blowout,Percentage,High Spenders,Online,62600.0
promo_34,2024-03-25,2024-04-21,0.46,Fall Fiesta,Percentage,All,Online,46400.0
promo_35,2023-10-25,2025-05-24,0.13,Mega Monday,Percentage,All,Online,51300.0
promo_36,2024-01-12,2024-12-08,0.28,Weekend Flash,Percentage,Loyal Users,Online,74500.0
promo_37,2024-03-28,2025-01-04,0.13,Holiday Cheer,Percentage,Loyal Users,Online,45300.0
promo_38,2024-01-31,2024-08-16,0.3,New Year Bash,BOGO,All,Online,47300.0
promo_39,2023-09-23,2025-01-15,0.06,VIP Exclusive,Free Shipping,All,Both,30200.0
promo_40,2024-05-12,2024-08-23,0.18,VIP Exclusive,Percentage,New Users,In-store,44500.0
